"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","fraud_label"
26937425,"Amsterdam top location riverview Appartement",202681518,"David Elise",NA,"Centrum-Oost",52.368622429687,4.89722720668806,"Private room",175,3,1,"2018-09-18",0.37,4,69,0
26937468,"Bright APT for 3 in popular de PIJP AREA!",65859990,"Martijn",NA,"De Pijp - Rivierenbuurt",52.3508047024528,4.90073486608774,"Entire home/apt",112,2,0,"",NA,208,0,0
26937756,"PERFECT apt for couples I Romantic getaway",65859990,"Martijn",NA,"De Baarsjes - Oud-West",52.3670051292963,4.85507002782203,"Entire home/apt",50,2,4,"2018-11-19",0.9,208,0,1
26937821,"Luxurious central apartment with garden!",8072008,"Daniel",NA,"De Pijp - Rivierenbuurt",52.3522118574713,4.89603578448382,"Entire home/apt",175,2,4,"2018-10-14",0.98,1,44,0
26938405,"Fabulous modern family home in Amsterdam North",129410355,"Tijmen & Ilja",NA,"Oud-Noord",52.391753271016,4.93576725051134,"Entire home/apt",200,5,5,"2018-08-25",1.15,1,7,0
26938450,"GREAT apt for 2 PERS I Next to WESTERPARK!",65859990,"Martijn",NA,"Westerpark",52.3816296381533,4.87000333591271,"Entire home/apt",140,2,0,"",NA,208,0,0
26940519,"Cozy apartment with spacious garden! Northside",200609335,"Tim",NA,"Noord-Oost",52.3978737666295,4.94169736800878,"Entire home/apt",125,1,15,"2018-11-13",3.66,1,90,0
26941696,"Your Amsterdam guesthouse - fantastic location!",17764545,"Anne",NA,"De Baarsjes - Oud-West",52.359453040983,4.85557938397539,"Private room",99,3,8,"2018-10-28",2.09,1,0,0
26941798,"Great city centre canal apartment with cat",202703434,"Rijk",NA,"Centrum-Oost",52.3736567818804,4.90272006898388,"Entire home/apt",175,1,4,"2018-08-19",0.97,1,0,1
26941872,"Vintage apartment, Vondelpark, balcony, 54m2",56989422,"Chantal",NA,"Zuid",52.3503594849861,4.84675914707395,"Entire home/apt",90,1,4,"2018-08-25",1.04,1,0,0
26942866,"A big and stylish room in amsterdam west",99309613,"Debra",NA,"De Baarsjes - Oud-West",52.3738256534213,4.8591692615549,"Private room",70,1,24,"2018-12-03",5.5,1,51,0
26943155,"Romantic dutch sailing boat",136919826,"Esther",NA,"Oud-Noord",52.3919077478338,4.93778630617899,"Private room",60,2,10,"2018-11-05",2.4,1,83,0
26943704,"Cozy apartment in beautiful Amsterdam West!",202731436,"Miro",NA,"Zuid",52.3529545430355,4.84731382569834,"Entire home/apt",70,2,4,"2018-10-21",0.88,1,10,0
26944765,"Luxurious sunny app.  incl hotel services",94719908,"Hedy",NA,"Zuid",52.3529290374428,4.864662820733,"Entire home/apt",999,2,0,"",NA,1,180,1
26945281,"Bright apartment @ the Jordan Amsterdam",201542668,"Judith",NA,"Centrum-West",52.3807080406847,4.88162265466489,"Entire home/apt",135,3,1,"2018-08-15",0.26,1,0,0
26946833,"Spacious apartment in de Pijp",40089484,"Nialler",NA,"De Pijp - Rivierenbuurt",52.3551685924197,4.89648288853549,"Entire home/apt",189,2,0,"",NA,2,49,0
26949958,"Amsterdam",202766090,"Brom",NA,"Gaasperdam - Driemond",52.2933305262182,4.98487747988856,"Private room",50,1,17,"2018-12-02",3.64,1,7,0
26950128,"Room close to city center",25657043,"Alisa",NA,"Zuid",52.3485219919463,4.8495733378842,"Private room",100,1,18,"2018-12-01",4.25,2,59,0
26950249,"Apartment + private garden Amsterdam East",71970833,"Carlijn",NA,"Watergraafsmeer",52.349746635836,4.93929566142988,"Entire home/apt",165,3,2,"2018-08-09",0.48,1,10,0
26950990,"Lovely family home with garden @ Amsterdam West",4076767,"Gijs & Carina",NA,"Bos en Lommer",52.3773919497455,4.84875443353596,"Entire home/apt",111,2,5,"2018-10-28",1.22,1,8,0
26951277,"Slapen in een kunstatelier in groen Amsterdam!",5186356,"Choi Mi & Jonathan",NA,"Gaasperdam - Driemond",52.3049434325114,5.0180604612458,"Entire home/apt",89,2,10,"2018-10-16",2.27,1,23,0
26953314,"Comfy spacious appartment nearby Vondelpark",69393997,"Dai",NA,"De Baarsjes - Oud-West",52.3598396651497,4.85574083041052,"Entire home/apt",140,3,3,"2018-10-10",1.06,1,0,0
26953875,"Light design apartment on great spot! FREE PARKING",16054867,"Evelien",NA,"De Baarsjes - Oud-West",52.3658558305103,4.87247659847508,"Entire home/apt",150,2,3,"2018-11-04",0.82,1,14,0
26954582,"Houseboat/private guesthouse-5 min central station",27785675,"Clea",NA,"Centrum-Oost",52.3749782273958,4.92010565739805,"Private room",140,3,14,"2018-11-04",3.23,2,1,0
26957351,"Cozy room in nice apartment",202189822,"Melina",NA,"De Baarsjes - Oud-West",52.3723693684437,4.85459556887602,"Private room",75,3,15,"2018-11-17",3.38,2,161,0
26965601,"Stylish city apartment",202912518,"Lisanne",NA,"Oud-Oost",52.3624298155116,4.92786030088268,"Entire home/apt",110,2,5,"2018-10-05",1.44,1,1,0
26968230,"Romantic Houseboat Oud West/Jordaan city center",913437,"Yael",NA,"De Baarsjes - Oud-West",52.3661526239203,4.87446631098523,"Entire home/apt",280,1,11,"2018-11-18",3.08,5,0,0
